brand,model,processor_brand,processor_name,processor_gnrtn,ram_GB,ram_type,ssd,hdd,os,os_bit,graphic_card_GB,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
HP,Ryzen,AMD,Ryzen 5,Missing,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,688.87,745.30,7.57%,4.4,698,74
HP,Pavilion,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,16,1,No,No,1182.87,1341.80,11.84%,4.6,273,40
HP,Ryzen,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,753.99,957.13,21.22%,4.1,44,5
HP,Ryzen,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,16,0,Yes,No,1417.00,1664.00,14.84%,0,0,0
HP,15s,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,890.50,936.00,4.86%,4.5,134,22
HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,Yes,1039.87,1122.58,7.37%,3.5,23,6
HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,1104.87,1444.40,23.51%,2.8,4,2
HP,HP,AMD,Ryzen 7,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,Yes,Yes,1208.87,1464.72,17.47%,0,0,0
HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,1094.47,1424.36,23.16%,0,0,0
HP,OMEN,AMD,Ryzen 7,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,16,1,No,No,2079.87,2422.52,14.14%,4.8,17,2
HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,987.87,1216.33,18.78%,4.5,1084,123
HP,OMEN,AMD,Ryzen 9,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,16,1,No,Yes,1845.87,2128.61,13.28%,0,0,0
iball,CompBook,Intel,Pentium Quad,Missing,4 GB,DDR3,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,181.87,259.99,30.05%,3.8,1218,209
Infinix,INBook,Intel,Core i3,10th,8 GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,428.87,649.99,34.02%,4.3,1221,265
